,result,solving Time,deduction Time,backtracks,splits
0,SAT,1.3403,1.2575,1,6
1,SAT,1.3931,1.3261,0,0
2,SAT,1.9153,1.7157,2,22
3,SAT,1.3644,1.2974,0,0
4,SAT,1.3505,1.284,0,0
5,SAT,1.8112,1.6531,1,12
6,SAT,1.3853,1.2967,0,0
7,SAT,1.391,1.323,0,0
8,SAT,1.3643,1.2973,0,0
9,SAT,2.7684,2.3787,2,34
10,SAT,13.2302,10.9747,2,13
11,SAT,1.3957,1.3262,0,0
12,SAT,1.3739,1.2845,1,16
13,SAT,1.4772,1.3571,1,15
14,SAT,1.3506,1.2433,0,26
15,SAT,1.962,1.738,1,16
16,SAT,1.3832,1.3125,0,0
17,SAT,1.372,1.3052,0,0
18,SAT,1.3973,1.3274,0,0
19,SAT,1.3838,1.313,0,0
20,SAT,1.3523,1.2848,0,0
21,SAT,1.4235,1.3339,1,5
22,SAT,2.4129,2.1157,2,23
23,SAT,1.4322,1.3634,0,0
24,SAT,1.4524,1.3607,1,8
25,SAT,2.9851,2.6001,2,8
26,SAT,1.4783,1.38,1,11
27,SAT,2.6655,2.2519,2,61
28,SAT,1.3864,1.32,0,0
29,SAT,1.4336,1.3278,0,0
30,SAT,1.4213,1.3401,1,9
31,SAT,1.3978,1.325,0,0
32,SAT,1.484,1.3988,1,6
33,SAT,1.4068,1.3359,0,0
34,SAT,3.8269,3.2972,1,3
35,SAT,9.9835,8.4674,3,19
36,SAT,1.4024,1.3284,1,4
37,SAT,1.7893,1.606,1,8
38,SAT,1.4071,1.3406,0,0
39,SAT,1.5328,1.4354,1,2
40,SAT,27.8079,23.0316,2,23
41,SAT,1.3892,1.3227,0,0
42,SAT,1.375,1.3087,0,0
43,SAT,1.5665,1.4567,1,11
44,SAT,1.9974,1.7882,2,23
45,SAT,3.429,2.918,2,19
46,SAT,1.4013,1.3313,0,0
47,SAT,1.4077,1.3375,0,0
48,SAT,6.2328,5.322,2,17
49,SAT,2.1266,1.8772,1,17
50,SAT,1.4164,1.3465,0,0
51,SAT,1.3883,1.3217,0,0
52,SAT,1.5451,1.4428,1,10
53,SAT,1.4113,1.3247,0,0
54,SAT,1.9986,1.7832,1,15
55,SAT,1.7915,1.5618,2,52
56,SAT,1.4204,1.3488,0,0
57,SAT,1.4272,1.357,0,0
58,SAT,2.0765,1.8275,2,37
59,SAT,3.7345,3.1048,1,18
60,SAT,9.3229,7.9194,2,5
61,SAT,1.4197,1.3491,0,0
62,SAT,1.4387,1.3589,1,9
63,SAT,1.4011,1.3347,0,0
64,SAT,1.4111,1.3445,0,0
65,SAT,1.7561,1.5852,2,37
66,SAT,1.3754,1.3087,0,0
67,SAT,2.427,2.1198,2,37
68,SAT,1.4531,1.3705,0,0
69,SAT,1.4074,1.338,0,0
70,SAT,3.4072,2.8934,1,31
71,SAT,1.5697,1.4441,1,22
72,SAT,1.5718,1.4403,1,21
73,SAT,7.7439,6.4234,3,19
74,SAT,1.389,1.316,0,0
75,SAT,1.4015,1.312,0,0
76,SAT,1.3844,1.3101,0,0
77,SAT,1.4344,1.3679,0,0
78,SAT,2.6792,2.3152,1,11
79,SAT,1.4508,1.3645,1,16
80,SAT,3.1926,2.8016,2,26
81,SAT,3.0562,2.6351,3,39
82,SAT,1.4337,1.362,0,0
83,SAT,2.4832,2.1622,1,22
84,SAT,1.4071,1.3357,0,0
85,SAT,1.47,1.3858,1,6
86,SAT,1.4249,1.3489,1,1
87,SAT,1.4478,1.3785,0,0
88,SAT,1.4311,1.3499,0,10
89,SAT,1.4609,1.3496,1,23
90,SAT,1.7685,1.617,1,19
91,SAT,1.8243,1.6587,1,9
92,SAT,2.712,2.3602,1,8
93,SAT,1.4302,1.3592,0,0
94,SAT,1.4079,1.3367,0,0
95,SAT,2.4862,2.2394,2,5
96,SAT,1.4753,1.3901,1,10
97,SAT,1.598,1.4639,1,21
98,SAT,1.7977,1.6355,1,14
99,SAT,1.4331,1.346,0,0
100,SAT,1.4109,1.3411,0,0
101,SAT,1.4024,1.3348,0,0
102,SAT,1.7428,1.5811,1,16
103,SAT,1.5792,1.4594,1,12
104,SAT,1.4153,1.3455,0,0
105,SAT,1.3991,1.3275,0,0
106,SAT,1.4466,1.3567,0,0
107,SAT,7.9542,6.6727,2,20
108,SAT,13.1305,11.0745,3,24
109,SAT,1.4415,1.3709,0,0
110,SAT,1.4804,1.3901,1,16
111,SAT,1.4261,1.3544,0,0
112,SAT,2.4567,2.207,1,8
113,SAT,1.3913,1.3242,0,0
114,SAT,2.3783,2.0978,1,4
115,SAT,1.4004,1.3259,1,8
116,SAT,1.4623,1.3812,1,3
117,SAT,1.3987,1.3315,0,0
118,SAT,1.4992,1.4141,1,3
119,SAT,1.6667,1.5358,1,6
120,SAT,1.5895,1.4873,1,3
121,SAT,2.3877,2.1087,1,26
122,SAT,7.5124,6.1104,2,40
123,SAT,1.5076,1.4135,1,9
124,SAT,3.1039,2.7397,1,7
125,SAT,4.718,4.0681,2,38
126,SAT,1.4047,1.337,0,0
127,SAT,2.0598,1.8645,2,18
128,SAT,1.8144,1.6511,1,9
