,result,solving Time,deduction Time,backtracks,splits
0,SAT,1.2969,1.25,1,1
1,SAT,1.375,1.3281,0,0
2,SAT,1.2969,1.2344,2,15
3,SAT,1.3594,1.3125,0,0
4,SAT,1.2188,1.1562,0,0
5,SAT,1.3438,1.2656,0,1
6,SAT,1.3438,1.2812,0,0
7,SAT,1.2188,1.1719,0,0
8,SAT,1.3125,1.2344,0,0
9,SAT,1.3594,1.2656,2,3
10,SAT,5.2656,4.7344,331,340
11,SAT,1.2812,1.2344,0,0
12,SAT,1.3125,1.25,0,2
13,SAT,1.2969,1.25,1,1
14,SAT,1.4375,1.375,1,6
15,SAT,1.7656,1.6562,28,43
16,SAT,1.4375,1.3594,0,0
17,SAT,1.5,1.4375,0,0
18,SAT,1.4844,1.4219,0,0
19,SAT,1.5,1.4219,0,0
20,SAT,1.5156,1.4688,0,0
21,SAT,1.7344,1.6719,1,6
22,SAT,1.4688,1.4219,0,1
23,SAT,1.3125,1.25,0,0
24,SAT,1.375,1.3125,1,1
25,SAT,2.1406,2.0312,41,44
26,SAT,1.4688,1.3906,1,2
27,SAT,1.8281,1.7031,30,39
28,SAT,1.5,1.4375,0,0
29,SAT,1.7344,1.6719,0,0
30,SAT,1.2969,1.2344,1,2
31,SAT,1.2188,1.1562,0,0
32,SAT,1.4688,1.4219,0,1
33,SAT,1.4531,1.3906,0,0
34,SAT,1.4062,1.3594,0,2
35,SAT,6.8125,6.1094,310,326
36,SAT,1.4844,1.4062,1,1
37,SAT,1.6562,1.5625,20,23
38,SAT,1.8594,1.7812,0,0
39,SAT,1.4688,1.4219,4,4
40,SAT,8.9531,8.1094,505,526
41,SAT,1.2031,1.1406,0,0
42,SAT,1.5,1.4219,0,0
43,SAT,1.5781,1.5,1,1
44,SAT,1.875,1.7656,38,38
45,SAT,2.6719,2.4531,97,114
46,SAT,1.5625,1.5,0,0
47,SAT,1.6562,1.5781,0,0
48,SAT,2.6094,2.4688,56,59
49,SAT,1.7188,1.6406,21,22
50,SAT,1.8438,1.7031,0,0
51,SAT,1.5312,1.4688,0,0
52,SAT,1.5312,1.4844,3,3
53,SAT,1.5938,1.5312,0,0
54,SAT,2.0781,1.9219,22,46
55,SAT,1.5938,1.4844,10,43
56,SAT,1.4062,1.3438,0,0
57,SAT,2.5156,2.4375,0,0
58,SAT,1.6406,1.5469,1,2
59,SAT,2.1406,2.0156,48,65
60,SAT,1.3906,1.3281,0,2
61,SAT,1.375,1.3125,0,0
62,SAT,1.7188,1.6719,1,2
63,SAT,1.25,1.2031,0,0
64,SAT,1.3438,1.2812,0,0
65,SAT,1.2812,1.2344,2,3
66,SAT,1.2812,1.2031,0,0
67,SAT,1.5938,1.4844,25,34
68,SAT,2.0312,1.9688,0,0
69,SAT,1.1875,1.1406,0,0
70,SAT,1.875,1.7188,48,78
71,SAT,1.3281,1.2812,0,1
72,SAT,1.4062,1.3438,13,13
73,SAT,4.5625,4.0781,236,245
74,SAT,1.4375,1.3594,0,0
75,SAT,1.5,1.4375,0,0
76,SAT,1.5781,1.5,0,0
77,SAT,1.4688,1.4062,0,0
78,SAT,1.4688,1.4062,4,6
79,SAT,1.9062,1.8438,0,1
80,SAT,2.3281,2.1719,49,62
81,SAT,1.9531,1.8125,36,45
82,SAT,1.5156,1.4531,0,0
83,SAT,1.6094,1.5,3,21
84,SAT,1.3906,1.3281,0,0
85,SAT,1.3906,1.3125,0,1
86,SAT,1.5156,1.4531,0,1
87,SAT,1.4375,1.3906,0,0
88,SAT,1.4219,1.375,1,1
89,SAT,1.4375,1.3906,2,4
90,SAT,1.375,1.3438,1,3
91,SAT,1.7188,1.625,4,22
92,SAT,2.1719,2.0156,82,89
93,SAT,1.3281,1.2656,0,0
94,SAT,1.3438,1.2969,0,0
95,SAT,1.4688,1.4219,1,3
96,SAT,1.3125,1.25,1,1
97,SAT,1.5625,1.5,0,4
98,SAT,1.5938,1.5312,5,18
99,SAT,1.3906,1.3438,0,0
100,SAT,1.4062,1.3438,0,0
101,SAT,1.4375,1.375,0,0
102,SAT,1.9531,1.8438,0,2
103,SAT,1.75,1.6094,3,19
104,SAT,1.875,1.75,0,0
105,SAT,1.4688,1.3906,0,0
106,SAT,1.2344,1.1875,0,0
107,SAT,1.375,1.2969,2,3
108,SAT,3.8906,3.5938,167,179
109,SAT,1.2969,1.2344,0,0
110,SAT,1.3281,1.25,0,2
111,SAT,1.25,1.2031,0,0
112,SAT,1.4844,1.3906,17,24
113,SAT,1.1562,1.1094,0,0
114,SAT,1.2969,1.2344,8,11
115,SAT,1.1406,1.0938,1,1
116,SAT,1.2031,1.1406,1,1
117,SAT,1.2656,1.2188,0,0
118,SAT,1.1562,1.1094,0,2
119,SAT,1.2031,1.1562,1,2
120,SAT,1.1719,1.1094,0,1
121,SAT,1.5938,1.4844,34,59
122,SAT,3.9219,3.5156,265,285
123,SAT,1.2344,1.1719,0,1
124,SAT,1.8594,1.7188,40,46
125,SAT,2.7812,2.5469,96,112
126,SAT,1.2656,1.2188,0,0
127,SAT,1.4062,1.3125,8,24
128,SAT,1.2656,1.2031,0,2
129,SAT,1.6875,1.5781,32,40
130,SAT,1.25,1.2031,1,1
131,SAT,1.375,1.3125,1,2
132,SAT,1.375,1.2969,1,2
133,SAT,1.6406,1.5312,40,44
134,SAT,1.4531,1.3594,0,0
135,SAT,1.3594,1.3125,0,0
136,SAT,1.3594,1.2656,5,7
137,SAT,1.1719,1.125,0,0
138,SAT,1.1719,1.125,1,4
139,SAT,1.2188,1.1719,1,2
140,SAT,1.375,1.3125,0,4
141,SAT,2.3281,2.1562,83,115
142,SAT,1.3438,1.2969,0,2
143,SAT,1.2656,1.1875,1,1
144,SAT,1.2812,1.2344,0,0
145,SAT,1.7969,1.7031,36,44
146,SAT,1.2656,1.2188,0,0
147,SAT,3.0625,2.8438,169,170
148,SAT,1.25,1.1719,0,1
149,SAT,1.2188,1.1719,0,0
150,SAT,1.2031,1.1562,0,0
151,SAT,1.2969,1.2188,0,3
152,SAT,1.3281,1.25,0,4
153,SAT,1.5312,1.4375,32,52
154,SAT,1.1719,1.1094,2,2
155,SAT,1.1719,1.125,0,0
156,SAT,1.2188,1.1719,0,1
157,SAT,1.625,1.5,32,32
158,SAT,1.3906,1.3281,12,17
159,SAT,1.2188,1.1562,0,0
160,SAT,1.2812,1.2188,0,0
161,SAT,1.2031,1.1562,0,0
162,SAT,1.2969,1.2344,0,0
163,SAT,2.5156,2.3438,115,127
164,SAT,1.2344,1.1719,0,0
165,SAT,1.2344,1.1875,1,5
166,SAT,1.4688,1.375,20,26
167,SAT,1.3281,1.2812,1,1
168,SAT,1.9219,1.7812,44,61
169,SAT,1.1875,1.1094,0,0
170,SAT,1.2188,1.1719,0,0
171,SAT,1.4375,1.3594,16,29
172,SAT,1.3594,1.2812,10,25
173,SAT,1.2656,1.1875,0,0
174,SAT,1.1562,1.0938,0,17
175,SAT,1.25,1.1875,3,3
176,SAT,1.2812,1.2344,0,1
177,SAT,1.5938,1.5,25,34
178,SAT,1.5469,1.4219,13,24
179,SAT,1.3438,1.2969,0,0
180,SAT,1.5469,1.4688,1,2
181,SAT,5.3438,4.9062,281,285
182,SAT,1.3125,1.2344,0,0
183,SAT,1.1719,1.125,0,0
184,SAT,1.2188,1.1719,0,0
185,SAT,1.2656,1.1875,11,34
186,SAT,1.2344,1.1719,0,0
187,SAT,1.3281,1.2812,1,1
188,SAT,1.2188,1.1719,0,0
189,SAT,1.5312,1.4219,23,24
190,SAT,7.2344,6.5469,442,442
191,SAT,1.1719,1.125,0,3
192,SAT,1.2344,1.1875,0,2
193,SAT,1.4688,1.4219,2,2
194,SAT,1.2656,1.1875,1,1
195,SAT,1.2344,1.1875,0,0
196,SAT,1.2969,1.25,3,3
197,SAT,1.25,1.2031,0,1
198,SAT,2.1406,1.9688,71,78
199,SAT,1.9844,1.8594,40,52
200,SAT,1.2656,1.2188,0,0
201,SAT,1.2812,1.2188,0,0
202,SAT,1.2969,1.25,3,3
203,SAT,1.2969,1.2344,0,0
204,SAT,1.2656,1.2188,0,2
205,SAT,1.3125,1.2344,0,1
206,SAT,1.3125,1.25,17,18
207,SAT,1.8438,1.6562,39,56
208,SAT,1.8594,1.7969,0,2
209,SAT,1.2969,1.25,2,3
210,SAT,1.2031,1.1562,0,0
211,SAT,2.4062,2.2656,60,67
212,SAT,1.5156,1.4688,0,1
213,SAT,1.2656,1.1875,0,1
214,SAT,1.25,1.2031,2,2
215,SAT,2.0938,1.9062,64,83
216,SAT,1.3438,1.2656,1,2
217,SAT,1.2344,1.1875,0,0
218,SAT,1.2656,1.2188,0,0
219,SAT,1.3281,1.25,4,11
220,SAT,3.2344,2.9844,144,152
221,SAT,1.3125,1.25,0,0
222,SAT,1.25,1.1719,0,0
223,SAT,1.1875,1.125,0,2
224,SAT,1.3125,1.2656,0,0
225,SAT,1.2969,1.2344,1,2
226,SAT,1.1875,1.1406,0,1
227,SAT,1.2188,1.1562,0,0
228,SAT,1.2969,1.2344,3,4
229,SAT,1.2812,1.2188,1,5
230,SAT,1.2812,1.2344,1,3
231,SAT,1.4688,1.4219,4,5
232,SAT,1.2031,1.1562,0,0
233,SAT,1.3281,1.2812,0,1
234,SAT,1.7031,1.6094,27,50
235,SAT,1.1875,1.1406,0,0
236,SAT,1.2031,1.1406,0,3
237,SAT,1.1719,1.125,0,0
238,SAT,1.5625,1.4531,24,41
239,SAT,1.2188,1.1562,0,2
