,result,solving Time,deduction Time,backtracks,splits
0,SAT,4.4692,4.1022,8,13
1,SAT,3.9951,3.6991,9,16
2,SAT,5.9151,5.4878,7,13
3,SAT,4.8725,4.4972,9,19
4,SAT,2.7425,2.5736,5,7
5,SAT,2.0454,1.9122,7,11
6,SAT,4.7258,4.3627,6,15
7,SAT,1.3233,1.254,0,1
8,SAT,1.4085,1.3209,4,12
9,SAT,2.4384,2.2596,7,15
10,SAT,11.1044,10.1961,2,6
11,SAT,3.0758,2.8672,3,4
12,SAT,6.5056,5.9937,9,17
13,SAT,2.5537,2.3835,6,12
14,SAT,3.0934,2.869,4,8
15,SAT,1.3109,1.2426,0,1
16,SAT,1.5055,1.4263,2,2
17,SAT,2.2049,2.0822,4,5
18,SAT,5.6792,5.1859,11,24
19,SAT,19.5789,18.1615,4,9
20,SAT,7.9504,7.3021,9,12
21,SAT,1.5443,1.4418,3,6
22,SAT,1.722,1.5933,8,26
23,SAT,3.6985,3.4495,11,13
24,SAT,2.6993,2.4933,4,7
25,SAT,1.3423,1.2728,0,0
26,SAT,1.3596,1.2802,1,6
27,SAT,1.3466,1.2753,0,0
28,SAT,1.3745,1.2989,2,3
29,SAT,1.5535,1.4409,5,12
30,SAT,1.376,1.3004,2,3
31,SAT,3.8878,3.6076,8,13
32,SAT,3.0787,2.8586,9,14
33,SAT,3.0009,2.8033,7,10
34,SAT,3.1166,2.8575,1,2
