,result,solving Time,deduction Time,backtracks,splits
0,SAT,1.5931,1.4936,5,33
1,SAT,3.0678,2.7962,9,110
2,SAT,1.2742,1.2208,0,2
3,SAT,2.9307,2.7384,5,74
4,SAT,1.2647,1.22,0,1
5,SAT,1.2851,1.24,0,1
6,SAT,2.8305,2.6108,5,98
7,SAT,2.5397,2.3579,5,61
8,SAT,1.2911,1.2377,1,4
9,SAT,1.4391,1.3457,2,4
10,SAT,3.0333,2.8252,8,92
11,SAT,2.2779,2.1441,5,49
12,SAT,1.4681,1.3996,4,14
13,SAT,4.933,4.5614,2,185
14,SAT,2.3535,2.1802,1,68
15,SAT,1.397,1.3331,5,14
16,SAT,1.393,1.3019,6,10
17,SAT,1.4114,1.3559,4,11
18,SAT,4.9459,4.5751,6,159
19,SAT,6.4603,5.8998,11,295
20,SAT,1.2532,1.2052,0,1
21,SAT,1.4331,1.3754,4,9
22,SAT,1.3476,1.3011,1,2
23,SAT,4.9552,4.5672,6,174
24,SAT,6.193,5.6903,7,251
25,SAT,1.2595,1.2127,0,0
26,SAT,1.4219,1.3685,1,7
27,SAT,1.2798,1.2354,0,0
28,SAT,1.3749,1.3253,2,2
29,SAT,3.2341,2.9939,13,102
30,SAT,1.2691,1.2219,2,7
31,SAT,6.3285,5.8783,5,238
32,SAT,1.2992,1.2125,0,2
33,SAT,3.2871,3.0671,3,118
34,SAT,2.0127,1.8808,3,45
